년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,가야대학교(고령)-제2캠퍼스,사립,경북,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,가야대학교(김해),사립,경남,460 ,554 ,81 ,1837 ,4.6 ,77.1 ,74.6 ,21 ,29.99 ,86.17 ,73.0 ,3710932.7 ,6809.8 ,11518.9 ,34.3 ,109.7 
2022,가천대학교,사립,경기,4081 ,4437 ,937 ,19370 ,15.4 ,100.0 ,67.4 ,2131 ,19.57 ,87.08 ,63.8 ,3374647.1 ,8263.2 ,14496.4 ,14.9 ,53.3 
2022,가톨릭관동대학교,사립,강원,1824 ,1685 ,410 ,6856 ,3.8 ,79.8 ,60.8 ,49 ,22.28 ,112.95 ,79.2 ,3198333.1 ,7199.7 ,12723.8 ,42.5 ,95.7 
2022,가톨릭꽃동네대학교,사립,충북,108 ,123 ,23 ,401 ,4.8 ,95.4 ,73.7 ,0 ,25.30 ,100.00 ,66.2 ,4926987.5 ,7293.6 ,16921.4 ,45.4 ,134.2 
2022,가톨릭대학교,사립,경기,1574 ,1626 ,269 ,6799 ,12.7 ,99.8 ,60.2 ,499 ,29.76 ,70.42 ,62.5 ,3287368.5 ,6997.6 ,26257.9 ,16.7 ,110.5 
2022,가톨릭대학교-제2캠퍼스,사립,서울,173 ,179 ,931 ,913 ,45.5 ,100.0 ,90.1 ,1 ,2.96 ,479.90 ,83.0 ,2662820.9 ,9263.0 ,0.0 ,7.5 ,0.0 
2022,가톨릭대학교-제3캠퍼스,사립,서울,50 ,39 ,15 ,216 ,1.1 ,98.0 ,0.0 ,6 ,28.53 ,93.75 ,66.2 ,6182877.6 ,6122.0 ,0.0 ,102.0 ,0.0 
2022,감리교신학대학교,사립,서울,200 ,187 ,26 ,635 ,0.7 ,44.2 ,0.0 ,2 ,68.96 ,40.63 ,58.2 ,4445341.1 ,6304.0 ,8491.3 ,26.0 ,163.4 
2022,강남대학교,사립,경기,1491 ,1611 ,238 ,6325 ,7.4 ,99.9 ,60.8 ,79 ,28.88 ,79.33 ,69.7 ,3509047.1 ,7464.5 ,12500.8 ,14.5 ,80.7 
2022,강릉원주대학교-제2캠퍼스,국립,강원,502 ,486 ,93 ,2033 ,5.8 ,99.8 ,58.8 ,4 ,24.47 ,86.92 ,85.3 ,3004494.8 ,4290.2 ,0.0 ,30.0 ,0.0 
2022,강릉원주대학교,국립,강원,1331 ,1222 ,282 ,5128 ,5.3 ,98.0 ,55.9 ,284 ,22.78 ,97.92 ,61.7 ,2894954.6 ,4251.7 ,16515.2 ,39.4 ,95.9 
2022,강서대학교,사립,서울,277 ,318 ,53 ,1560 ,6.1 ,100.0 ,64.1 ,378 ,25.77 ,69.74 ,62.5 ,3353667.1 ,7104.8 ,9296.6 ,7.8 ,64.1 
2022,강원대학교,국립,강원,3093 ,4277 ,800 ,13270 ,7.9 ,99.9 ,62.8 ,363 ,21.18 ,93.24 ,59.6 ,2681116.5 ,4071.7 ,18241.4 ,29.0 ,72.7 
2022,강원대학교-제2캠퍼스,국립,강원,1432 ,1600 ,196 ,5360 ,5.5 ,99.4 ,65.9 ,50 ,32.10 ,72.06 ,57.6 ,3267450.2 ,4248.1 ,0.0 ,47.1 ,0.0 
2022,건국대학교,사립,서울,3000 ,3863 ,627 ,15343 ,18.3 ,99.4 ,69.1 ,2148 ,30.55 ,59.49 ,60.6 ,3254425.2 ,8275.6 ,15532.0 ,19.3 ,66.2 
2022,건국대학교(글로컬),사립,충북,1569 ,1667 ,443 ,6704 ,10.0 ,99.9 ,65.9 ,123 ,16.19 ,118.77 ,64.9 ,3830639.2 ,8007.7 ,17098.1 ,33.2 ,97.5 
2022,건양대학교,사립,충남,777 ,864 ,112 ,2957 ,5.2 ,95.4 ,68.1 ,166 ,29.57 ,86.82 ,59.9 ,3830440.5 ,6402.4 ,15735.0 ,46.3 ,67.2 
2022,건양대학교-제2캠퍼스,사립,대전,846 ,849 ,262 ,3481 ,6.6 ,99.5 ,80.0 ,4 ,16.12 ,108.71 ,79.6 ,3471641.2 ,7230.6 ,0.0 ,34.9 ,0.0 
2022,경기대학교,사립,경기,2598 ,2760 ,510 ,11233 ,10.2 ,99.9 ,61.7 ,988 ,27.79 ,78.22 ,66.6 ,3571006.1 ,7350.3 ,11779.6 ,18.8 ,82.9 
2022,경기대학교-제2캠퍼스,사립,서울,328 ,434 ,36 ,2010 ,18.1 ,100.0 ,69.5 ,662 ,36.44 ,41.86 ,57.5 ,3477801.2 ,7087.3 ,0.0 ,0.0 ,0.0 
2022,경남과학기술대학교,국립,경남,0 ,1154 ,0 ,3294 ,0.0 ,0.0 ,57.3 ,0 ,0.00 ,0.00 ,67.6 ,2606391.5 ,3801.9 ,0.0 ,0.0 ,0.0 
2022,경남대학교,사립,경남,2195 ,2601 ,422 ,10194 ,4.3 ,82.9 ,62.4 ,277 ,30.20 ,80.08 ,77.8 ,3338288.5 ,6533.4 ,12171.6 ,15.5 ,84.9 
2022,경동대학교-제3캠퍼스,사립,강원,989 ,995 ,105 ,3817 ,7.3 ,96.9 ,82.9 ,0 ,36.35 ,55.56 ,77.5 ,3081085.5 ,8280.5 ,0.0 ,26.6 ,0.0 
2022,경동대학교-제2캠퍼스,사립,강원,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,경동대학교,사립,강원,1 ,230 ,29 ,557 ,8.0 ,100.0 ,70.5 ,417 ,10.79 ,126.09 ,90.7 ,4914836.2 ,6571.4 ,8754.2 ,63.6 ,51.3 
2022,경동대학교-제4캠퍼스,사립,경기,654 ,606 ,100 ,2693 ,7.6 ,100.0 ,74.9 ,113 ,27.28 ,81.30 ,80.9 ,3019652.6 ,7610.8 ,0.0 ,18.6 ,0.0 
2022,경북대학교,국립,대구,4629 ,5295 ,1392 ,21028 ,11.3 ,99.6 ,57.9 ,1099 ,20.28 ,93.33 ,61.9 ,2655207.2 ,4499.6 ,20578.2 ,24.0 ,125.2 
2022,경상국립대학교,국립,경남,4266 ,3270 ,1023 ,14185 ,6.6 ,99.6 ,49.2 ,269 ,17.31 ,118.54 ,70.2 ,2636020.8 ,4083.2 ,18219.3 ,28.8 ,77.0 
2022,경성대학교,사립,부산,2765 ,2995 ,429 ,11785 ,6.8 ,99.7 ,56.5 ,891 ,29.11 ,75.00 ,70.4 ,3322074.2 ,6578.4 ,10450.4 ,11.8 ,80.0 
2022,경운대학교,사립,경북,1184 ,1025 ,184 ,4207 ,6.2 ,92.9 ,70.8 ,40 ,27.04 ,85.19 ,70.3 ,4470745.5 ,7708.2 ,13260.8 ,35.1 ,97.9 
2022,경일대학교,사립,경북,1584 ,1300 ,247 ,6852 ,5.7 ,94.3 ,64.8 ,334 ,26.77 ,72.65 ,87.9 ,3858175.8 ,7403.3 ,11878.9 ,23.0 ,73.9 
2022,경주대학교,사립,경북,762 ,197 ,48 ,690 ,1.1 ,30.7 ,66.7 ,124 ,69.46 ,123.08 ,50.4 ,3466661.4 ,7108.4 ,10716.3 ,57.2 ,494.5 
2022,경희대학교,사립,서울,4830 ,6514 ,1361 ,25998 ,16.4 ,99.7 ,68.9 ,4439 ,21.27 ,74.90 ,58.1 ,3026693.4 ,7938.3 ,16471.7 ,17.2 ,76.4 
2022,계명대학교,사립,대구,4620 ,5107 ,888 ,20753 ,6.5 ,99.8 ,55.5 ,1494 ,25.02 ,81.54 ,72.6 ,3804096.1 ,7246.6 ,13368.2 ,13.3 ,90.1 
2022,고려대학교,사립,서울,3889 ,4905 ,1511 ,19597 ,10.8 ,99.8 ,70.1 ,3432 ,20.58 ,95.75 ,53.7 ,3414288.0 ,8279.4 ,29628.7 ,11.9 ,108.4 
2022,고려대학교(세종),사립,세종,1449 ,1496 ,258 ,6406 ,12.2 ,99.9 ,66.6 ,409 ,26.68 ,73.50 ,66.1 ,3414843.1 ,8399.2 ,19221.5 ,36.9 ,73.7 
2022,고신대학교,사립,부산,886 ,779 ,294 ,3534 ,7.8 ,90.4 ,71.8 ,86 ,18.11 ,120.00 ,71.8 ,3961861.8 ,6648.5 ,14100.9 ,39.5 ,102.7 
2022,광신대학교,사립,광주,122 ,122 ,50 ,457 ,1.4 ,100.0 ,56.4 ,21 ,27.72 ,98.04 ,64.8 ,4547230.4 ,5967.8 ,9187.5 ,23.8 ,155.4 
2022,광운대학교,사립,서울,1684 ,1802 ,329 ,8496 ,11.4 ,99.9 ,65.0 ,1079 ,27.70 ,68.91 ,65.8 ,2913565.0 ,7834.2 ,14245.2 ,12.2 ,79.7 
2022,광주가톨릭대학교,사립,전남,40 ,16 ,18 ,60 ,0.3 ,30.0 ,0.0 ,0 ,13.89 ,360.00 ,93.6 ,16233.8 ,0.0 ,24667.4 ,237.2 ,1917.9 
2022,광주과학기술원,특별법법인,광주,200 ,167 ,187 ,727 ,18.5 ,109.0 ,61.4 ,18 ,15.90 ,139.55 ,66.9 ,6001570.3 ,2060.0 ,86311.9 ,105.9 ,97.3 
2022,광주대학교,사립,광주,1481 ,1536 ,244 ,6368 ,4.8 ,99.7 ,66.2 ,291 ,28.99 ,76.49 ,77.2 ,3964296.0 ,6589.4 ,11491.5 ,29.9 ,89.4 
2022,광주여자대학교,사립,광주,920 ,871 ,135 ,3766 ,4.2 ,94.7 ,66.4 ,479 ,28.93 ,72.19 ,71.4 ,4339391.8 ,6307.0 ,10592.4 ,28.7 ,81.4 
2022,국립공주대학교,국립,충남,2815 ,2995 ,571 ,12154 ,9.0 ,99.9 ,59.0 ,248 ,26.33 ,79.24 ,68.6 ,2642428.8 ,3826.0 ,13621.7 ,32.3 ,85.0 
2022,국민대학교,사립,서울,2966 ,3930 ,668 ,14562 ,9.6 ,100.0 ,68.9 ,1832 ,24.24 ,74.39 ,66.3 ,3341292.2 ,7927.8 ,15563.6 ,11.9 ,79.9 
2022,군산대학교,국립,전북,1735 ,1551 ,338 ,6611 ,3.4 ,83.3 ,55.5 ,307 ,25.20 ,90.37 ,71.3 ,2710526.1 ,3934.3 ,17459.5 ,22.6 ,93.1 
2022,극동대학교,사립,충북,871 ,772 ,139 ,2933 ,4.4 ,61.0 ,69.1 ,110 ,28.58 ,93.92 ,67.0 ,3856464.2 ,7511.9 ,10798.0 ,15.8 ,97.9 
2022,금강대학교,사립,충남,110 ,93 ,15 ,210 ,0.6 ,30.0 ,66.7 ,21 ,32.53 ,150.00 ,37.5 ,7714893.2 ,6598.0 ,28699.9 ,292.6 ,474.7 
2022,금오공과대학교,국립,경북,1218 ,1439 ,233 ,5188 ,5.3 ,99.7 ,61.5 ,80 ,26.46 ,77.55 ,71.5 ,2809236.5 ,3767.4 ,17646.0 ,47.7 ,93.2 
2022,김천대학교,사립,경북,665 ,767 ,120 ,2574 ,4.5 ,92.6 ,71.4 ,331 ,25.17 ,91.60 ,70.7 ,4206784.0 ,7055.1 ,10879.4 ,44.4 ,109.7 
2022,나사렛대학교,사립,충남,1211 ,1142 ,176 ,4841 ,4.9 ,98.3 ,64.8 ,114 ,30.01 ,77.19 ,81.6 ,4318989.1 ,7194.2 ,11890.1 ,19.3 ,81.6 
2022,남부대학교,사립,광주,656 ,695 ,118 ,3047 ,5.0 ,92.1 ,71.5 ,462 ,27.50 ,69.82 ,66.9 ,3643164.5 ,6538.5 ,10702.4 ,31.5 ,36.0 
2022,남서울대학교,사립,충남,2187 ,2211 ,327 ,9208 ,8.7 ,100.0 ,67.2 ,840 ,28.28 ,72.19 ,67.2 ,3794645.9 ,7909.6 ,11822.6 ,14.0 ,91.1 
2022,단국대학교,사립,경기,2275 ,3033 ,490 ,11387 ,13.9 ,99.8 ,62.8 ,952 ,29.23 ,69.50 ,57.8 ,3247170.2 ,8024.0 ,14844.1 ,19.4 ,77.0 
2022,단국대학교-제2캠퍼스,사립,충남,2355 ,2827 ,528 ,10628 ,8.4 ,99.7 ,66.3 ,188 ,21.27 ,85.85 ,60.9 ,3366461.4 ,8184.5 ,0.0 ,20.0 ,0.0 
2022,대구가톨릭대학교,사립,경북,2887 ,2810 ,596 ,11311 ,5.7 ,91.1 ,61.0 ,242 ,23.58 ,94.30 ,69.1 ,3804537.0 ,7227.8 ,12931.0 ,23.6 ,103.3 
2022,대구경북과학기술원,특별법법인,대구,220 ,133 ,135 ,782 ,17.5 ,100.9 ,39.3 ,0 ,17.84 ,127.36 ,70.5 ,2762263.3 ,7000.0 ,104834.1 ,115.9 ,163.5 
2022,대구대학교,사립,경북,3850 ,4033 ,579 ,15941 ,5.3 ,91.6 ,58.2 ,1362 ,31.63 ,72.28 ,75.2 ,3984242.7 ,6897.2 ,13419.7 ,25.2 ,88.7 
2022,대구예술대학교,사립,경북,330 ,197 ,31 ,595 ,1.4 ,23.3 ,51.3 ,1 ,50.87 ,103.33 ,36.2 ,3929226.8 ,8293.5 ,12290.7 ,30.3 ,157.0 
2022,대구외국어대학교,사립,경북,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,대구한의대학교,사립,경북,1518 ,1535 ,244 ,6236 ,5.8 ,97.6 ,66.0 ,173 ,27.66 ,67.97 ,80.8 ,3848677.1 ,7281.2 ,13348.7 ,18.8 ,96.2 
2022,대신대학교,사립,경북,116 ,105 ,28 ,438 ,2.2 ,100.0 ,48.9 ,68 ,28.57 ,93.33 ,68.1 ,5283663.7 ,6415.3 ,9781.8 ,18.9 ,184.8 
2022,대전가톨릭대학교,사립,세종,40 ,8 ,12 ,32 ,0.3 ,27.5 ,0.0 ,2 ,24.58 ,400.00 ,55.6 ,3457803.0 ,5760.0 ,43951.9 ,961.1 ,2280.2 
2022,대전대학교,사립,대전,1962 ,1863 ,322 ,8504 ,8.2 ,98.9 ,63.5 ,530 ,28.91 ,69.25 ,67.9 ,3567621.3 ,7350.3 ,14341.6 ,25.6 ,88.8 
2022,대전신학대학교,사립,대전,32 ,24 ,8 ,55 ,0.3 ,25.0 ,0.0 ,0 ,48.00 ,100.00 ,57.4 ,6452348.3 ,5933.7 ,18904.3 ,25.8 ,510.7 
2022,대진대학교,사립,경기,1793 ,1529 ,258 ,7243 ,6.1 ,100.0 ,64.5 ,314 ,30.41 ,68.44 ,71.9 ,3696110.7 ,7188.1 ,12354.8 ,21.1 ,93.4 
2022,덕성여자대학교,사립,서울,1120 ,1487 ,213 ,5269 ,15.8 ,99.9 ,59.8 ,283 ,24.65 ,84.19 ,71.0 ,2953160.2 ,7105.3 ,12908.4 ,15.8 ,131.6 
2022,동국대학교,사립,서울,2778 ,3297 ,694 ,13270 ,18.9 ,99.9 ,68.8 ,1652 ,24.25 ,81.36 ,59.8 ,3282565.5 ,7945.7 ,16275.4 ,14.0 ,95.1 
2022,동국대학교(WISE),사립,경북,1754 ,1675 ,331 ,7172 ,7.0 ,99.8 ,61.9 ,207 ,24.28 ,84.44 ,56.6 ,3583165.4 ,7878.7 ,14795.3 ,24.9 ,100.5 
2022,동덕여자대학교,사립,서울,1577 ,1666 ,233 ,6834 ,12.4 ,99.9 ,67.9 ,274 ,29.92 ,69.76 ,75.8 ,3213287.5 ,7422.7 ,11382.1 ,10.9 ,77.1 
2022,동명대학교,사립,부산,1638 ,1727 ,273 ,7055 ,5.5 ,85.7 ,66.2 ,491 ,27.02 ,78.45 ,72.5 ,3983420.1 ,7029.1 ,12410.5 ,14.2 ,73.5 
2022,동서대학교,사립,부산,2098 ,2184 ,354 ,9296 ,6.9 ,91.2 ,64.1 ,870 ,27.25 ,77.80 ,72.9 ,3779942.7 ,6879.8 ,12161.7 ,22.4 ,83.2 
2022,동신대학교,사립,전남,1548 ,1477 ,251 ,6098 ,4.7 ,92.8 ,68.4 ,311 ,27.95 ,72.75 ,75.8 ,4062715.4 ,6699.8 ,13382.7 ,22.0 ,92.3 
2022,동아대학교,사립,부산,4058 ,4264 ,782 ,17887 ,6.0 ,99.9 ,56.1 ,581 ,25.66 ,81.12 ,69.3 ,3474696.5 ,6766.3 ,13331.4 ,13.0 ,70.5 
2022,동양대학교,사립,경북,990 ,786 ,148 ,3852 ,4.2 ,95.3 ,60.9 ,41 ,29.77 ,75.51 ,78.6 ,3449238.2 ,7193.9 ,10223.2 ,54.2 ,91.5 
2022,동의대학교,사립,부산,3635 ,3362 ,569 ,14514 ,5.6 ,96.9 ,60.4 ,243 ,27.92 ,76.27 ,82.8 ,3509890.1 ,6633.2 ,11198.4 ,21.0 ,80.8 
2022,루터대학교,사립,경기,85 ,80 ,17 ,337 ,3.3 ,100.0 ,56.8 ,2 ,25.71 ,100.00 ,60.9 ,4191147.4 ,6334.5 ,16326.0 ,27.5 ,106.1 
2022,명지대학교-제2캠퍼스,사립,서울,1263 ,2119 ,244 ,7613 ,10.5 ,99.8 ,64.2 ,1902 ,30.23 ,64.72 ,58.6 ,3182267.8 ,6950.4 ,0.0 ,11.9 ,0.0 
2022,명지대학교,사립,경기,1397 ,1526 ,269 ,6063 ,10.4 ,99.9 ,67.4 ,474 ,26.67 ,72.90 ,68.9 ,3472567.8 ,9117.7 ,12607.5 ,30.4 ,102.2 
2022,목원대학교,사립,대전,1822 ,1628 ,290 ,7120 ,4.9 ,98.1 ,58.5 ,809 ,29.10 ,76.72 ,68.0 ,3945235.2 ,7271.2 ,11118.4 ,20.8 ,89.4 
2022,목포가톨릭대학교,사립,전남,120 ,122 ,19 ,492 ,5.0 ,100.0 ,77.3 ,1 ,25.26 ,79.17 ,75.3 ,4668880.3 ,6539.0 ,14336.6 ,41.3 ,103.4 
2022,목포대학교,국립,전남,1591 ,1484 ,298 ,6386 ,4.8 ,85.9 ,57.9 ,163 ,27.53 ,89.49 ,73.2 ,3285658.5 ,3887.1 ,17964.9 ,25.1 ,83.6 
2022,목포해양대학교,국립,전남,691 ,611 ,123 ,2530 ,4.5 ,99.1 ,85.4 ,15 ,24.08 ,91.79 ,76.1 ,2257108.2 ,3409.2 ,20536.9 ,92.0 ,91.1 
2022,배재대학교,사립,대전,2032 ,1608 ,291 ,7936 ,5.1 ,93.1 ,63.1 ,410 ,31.15 ,72.21 ,72.7 ,3544913.1 ,7234.6 ,11936.9 ,21.1 ,91.5 
2022,백석대학교,사립,충남,2990 ,2809 ,488 ,11767 ,7.8 ,99.9 ,63.5 ,229 ,30.13 ,71.76 ,74.2 ,3728523.5 ,7899.4 ,11962.1 ,14.5 ,83.9 
2022,부경대학교,국립,부산,3270 ,3870 ,615 ,15213 ,8.4 ,99.8 ,50.6 ,1130 ,28.02 ,70.45 ,66.4 ,2641364.2 ,4034.8 ,16126.9 ,24.4 ,72.7 
2022,부산가톨릭대학교,사립,부산,735 ,924 ,143 ,3740 ,7.1 ,93.7 ,66.9 ,165 ,26.69 ,73.71 ,79.6 ,4419252.6 ,6843.9 ,13551.1 ,13.2 ,101.0 
2022,부산대학교,국립,부산,4257 ,4832 ,1413 ,19258 ,12.4 ,99.7 ,55.6 ,994 ,20.74 ,89.83 ,58.9 ,2796801.2 ,4461.9 ,21478.9 ,21.1 ,92.4 
2022,부산외국어대학교,사립,부산,1660 ,1775 ,247 ,6897 ,4.4 ,82.3 ,59.0 ,823 ,31.86 ,77.43 ,70.6 ,3147735.5 ,6250.7 ,10035.3 ,23.0 ,108.1 
2022,부산장신대학교,사립,경남,32 ,64 ,19 ,143 ,1.6 ,100.0 ,45.2 ,1 ,30.05 ,118.75 ,71.2 ,5076327.2 ,5774.8 ,10883.4 ,65.8 ,173.9 
2022,삼육대학교,사립,서울,1137 ,1297 ,215 ,5332 ,11.1 ,100.1 ,67.0 ,131 ,24.98 ,74.14 ,61.9 ,3912563.3 ,7760.9 ,13130.8 ,23.3 ,85.5 
2022,상명대학교,사립,서울,1379 ,1535 ,266 ,6305 ,11.9 ,100.0 ,62.9 ,861 ,25.67 ,75.57 ,80.8 ,3441802.3 ,7712.0 ,13905.2 ,8.7 ,89.2 
2022,상명대학교-제2캠퍼스,사립,충남,1367 ,1334 ,217 ,5554 ,8.9 ,99.9 ,68.7 ,155 ,25.59 ,76.68 ,82.7 ,3708861.7 ,8101.5 ,0.0 ,19.3 ,0.0 
2022,상지대학교,사립,강원,2118 ,1276 ,292 ,6248 ,3.8 ,69.3 ,65.8 ,152 ,31.11 ,90.40 ,75.7 ,3335386.1 ,7171.6 ,11815.8 ,13.6 ,102.0 
2022,서강대학교,사립,서울,1574 ,1969 ,400 ,7974 ,20.1 ,99.4 ,71.9 ,1941 ,32.11 ,69.57 ,59.5 ,2693522.5 ,7944.5 ,17889.6 ,12.9 ,116.6 
2022,서경대학교,사립,서울,1269 ,1383 ,251 ,6510 ,18.8 ,100.0 ,71.2 ,765 ,22.74 ,76.52 ,66.3 ,3309068.3 ,7925.4 ,11716.0 ,10.9 ,93.1 
2022,서남대학교,사립,전북,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,서남대학교-제2캠퍼스,사립,충남,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,서울과학기술대학교,국립,서울,2157 ,2481 ,410 ,10064 ,11.5 ,99.9 ,67.2 ,720 ,26.36 ,67.66 ,60.3 ,3192123.8 ,5458.0 ,16851.4 ,22.5 ,68.1 
2022,서울기독대학교,사립,서울,136 ,79 ,29 ,403 ,2.1 ,46.8 ,61.3 ,3 ,32.97 ,100.00 ,54.2 ,3435834.3 ,7319.3 ,9841.6 ,18.4 ,87.0 
2022,서울대학교,국립,서울,3233 ,3330 ,2278 ,15870 ,5.6 ,99.8 ,71.1 ,1410 ,13.50 ,120.78 ,51.8 ,3078815.9 ,6011.8 ,52866.4 ,25.1 ,185.0 
2022,서울시립대학교,국립,서울,1737 ,2064 ,447 ,8674 ,14.5 ,99.9 ,69.2 ,637 ,24.01 ,78.56 ,53.5 ,1801826.4 ,2394.4 ,16430.1 ,11.4 ,97.6 
2022,서울신학대학교,사립,경기,457 ,517 ,108 ,2082 ,5.8 ,100.0 ,65.7 ,26 ,30.28 ,80.00 ,64.7 ,4763797.6 ,6892.5 ,10345.8 ,14.6 ,117.7 
2022,서울여자대학교,사립,서울,1645 ,1685 ,232 ,7008 ,12.8 ,100.2 ,65.4 ,594 ,31.51 ,70.30 ,61.8 ,3481106.5 ,7534.6 ,12419.5 ,12.3 ,99.1 
2022,서울장신대학교,사립,경기,104 ,112 ,35 ,323 ,1.9 ,64.4 ,54.8 ,1 ,27.17 ,106.06 ,61.8 ,4951651.9 ,7541.0 ,10993.0 ,54.5 ,178.4 
2022,서울한영대학교,사립,서울,180 ,145 ,33 ,655 ,4.9 ,90.6 ,70.4 ,0 ,32.72 ,82.05 ,62.1 ,3855922.6 ,6979.7 ,8973.2 ,14.6 ,148.8 
2022,서원대학교,사립,충북,1622 ,1399 ,234 ,6644 ,6.6 ,99.9 ,57.5 ,6 ,29.15 ,75.48 ,77.8 ,3775729.5 ,6948.3 ,12335.6 ,14.5 ,107.9 
2022,선문대학교,사립,충남,2053 ,1861 ,315 ,9174 ,5.0 ,99.8 ,70.1 ,1561 ,29.31 ,71.11 ,64.1 ,4063188.7 ,7602.7 ,14267.3 ,39.4 ,79.0 
